drug_name,dosage_name,is_specialty
Tacrolimus,Tacrolimus CAP 5MG,True
Tagrisso,Tagrisso TAB 80MG,True
Tagrisso,Tagrisso TAB 40MG,True
Taltz,Taltz INJ 80MG/ML,True
Taltz,Taltz INJ 20MG/0.25ML,True
Taltz,Taltz SOLN AUTO-INJ 80MG/ML,True
Tarceva,Tarceva TAB 100MG,True
Tarceva,Tarceva TAB 150MG,True
Tasigna,Tasigna CAP 150MG,True
Tecfidera,Tecfidera CAP 240MG,True
Tecfidera,Tecfidera CAP 120MG,True
Tecfidera,Tecfidera MISC 120 & 240MG,True
Tepmetko,Tepmetko TAB 225MG,True
Toujeo Max Solostar,Toujeo Max Solostar INJ 300UNIT/ML,True
Toujeo Solostar,Toujeo Solostar INJ 300UNIT/ML,True
Tremfya,Tremfya INJ 100MG/ML,True
Tremfya,Tremfya INJ 100MG/ML,True
Tremfya,Tremfya SOLN AUTO-INJ 200MG/2ML,True
Tremfya,Tremfya INJ 200MG/2ML,True
Tresiba Flextouch,Tresiba Flextouch INJ 200UNIT/ML,True
Tresiba Flextouch,Tresiba Flextouch INJ 100UNIT/ML,True
Triumeq,Triumeq TAB 600-50-300MG,True
Trulicity,Trulicity SOLN AUTO-INJ 4.5MG/0.5ML,True
Trulicity,Trulicity SOLN AUTO-INJ 0.75MG/0.5ML,True
Trulicity,Trulicity SOLN AUTO-INJ 1.5MG/0.5ML,True
Trulicity,Trulicity INJ 3MG/0.5ML,True
Tysabri,Tysabri CONC 300MG/15ML,True
Uptravi,Uptravi TAB 400MCG,True
Uptravi,Uptravi SOLN 1800MCG,True
Uptravi,Uptravi TAB 200MCG,True
Uptravi,Uptravi TAB 800MCG,True
Uptravi,Uptravi TAB 1600MCG,True
Ustekinumab,Ustekinumab INJ 45MG/0.5ML,True
Venclexta,Venclexta TAB 100MG,True
Verzenio,Verzenio TAB 50MG,True
Verzenio,Verzenio TAB 150MG,True
Verzenio,Verzenio TAB 100MG,True
Victoza,Victoza INJ 18MG/3ML,True
Wegovy,Wegovy SOLN AUTO-INJ 0.25MG/0.5ML,True
Wegovy,Wegovy SOLN AUTO-INJ 0.5MG/0.5ML,True
Wegovy,Wegovy SOLN AUTO-INJ 1.7MG/0.75ML,True
Wegovy,Wegovy SOLN AUTO-INJ 1MG/0.5ML,True
Wegovy,Wegovy SOLN AUTO-INJ 2.4MG/0.75ML,True
Xarelto,Xarelto TAB 20MG,True
Xarelto,Xarelto TAB 15MG,True
Xarelto,Xarelto TAB 2.5MG,True
Xarelto,Xarelto TAB 10MG,True
Xarelto,Xarelto SUSP 1MG/ML,True
Xeljanz,Xeljanz TAB 10MG,True
Xeljanz,Xeljanz TAB 5MG,True
Xeljanz,Xeljanz SOLN 1MG/ML,True
Xolair,Xolair INJ 300MG/2ML,True
Xolair,Xolair INJ 150MG/ML,True
Xolair,Xolair INJ 75MG/0.5ML,True
Xolair,Xolair SOLN AUTO-INJ 300MG/2ML,True
Xolair,Xolair SOLN AUTO-INJ 150MG/ML,True
Xolair,Xolair SOLN 150MG,True
Xtandi,Xtandi TAB 80MG,True
Xtandi,Xtandi CAP 40MG,True
Xtandi,Xtandi TAB 40MG,True
Zejula,Zejula CAP 100MG,True
Zejula,Zejula TAB 200MG,True
Zejula,Zejula TAB 100MG,True
Zeposia,Zeposia CAP 0.92MG,True
Zytiga,Zytiga TAB 250MG,True
Abacavir Sulfate,Abacavir Sulfate TAB 300MG,False
Abacavir Sulfate,Abacavir Sulfate SOLN 20MG/ML,False
Abacavir Sulfate-Lamivudine,Abacavir Sulfate-Lamivudine TAB 600-300MG,False
Abacavir-Lamivudine-Zidovudine,Abacavir-Lamivudine-Zidovudine TAB 300-150-300MG,False
Abelcet,Abelcet INJ 5MG/ML,False
Abilify,Abilify TAB 30MG,False
Abilify,Abilify TAB 20MG,False
Abilify,Abilify TAB 5MG,False
Abilify,Abilify TAB 2MG,False
Abilify,Abilify TAB 10MG,False
Abilify,Abilify TAB 15MG,False
